typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","88265.69","false","8","kg","88265.69","false","88194","false","0","false","633625.54","603722.52","633625.54","0","false","true",
"C","A","20200101","2020","52","2020","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21524490.87","false","8","kg","21524490.87","false","21524490.87","false","0","false","46092115.66",,"46092115.66","0","false","true",
"C","A","20200101","2020","52","2020","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","806875.38","false","8","kg","806875.38","false","1365702.57","false","0","false","5493391.85",,"5493391.85","0","false","true",
"C","A","20200101","2020","52","2020","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5826345.52","true","-1","N/A","0","false","5826345.52","true","0","false","65629844","64101988","65629844","6","false","true",
"C","A","20200101","2020","52","2020","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1302850.932","true","-1","N/A","0","false","1302850.932","true","0","false","2565698.46",,"2565698.46","6","false","true",
"C","A","20200101","2020","52","2020","96","BRN","Brunei Darussalam","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","118669","false","8","kg","118669","false","118669","false","0","false","887661.82","0","887661.82","0","false","true",
"C","A","20200101","2020","52","2020","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39984499","false","8","kg","39984499","false","39984499","false","0","false","131309216.319","0","131309216.319","0","false","true",
"C","A","20200101","2020","52","2020","104","MMR","Myanmar","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1734808.19","false","8","kg","1734808.19","false","1734808.19","false","0","false","1554610.36",,"1554610.36","0","false","true",
"C","A","20200101","2020","52","2020","108","BDI","Burundi","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9867","false","8","kg","9867","false","9867","false","0","false","9055.284",,"9055.284","0","false","true",
"C","A","20200101","2020","52","2020","112","BLR","Belarus","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","53242600","0","53242600","0","false","true",
"C","A","20200101","2020","52","2020","116","KHM","Cambodia","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","769112.22","false","8","kg","769112.22","false","769112.22","false","0","false","3631583.49","0","3631583.49","0","false","true",
"C","A","20200101","2020","52","2020","120","CMR","Cameroon","M","Import","0","W00","World","0","W00","World","H5","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","153056.5","false","8","kg","153056.5","false","153056.5","false","0","false","206441.79",,"206441.79","0","false","true",
"C","A","20200101","2020","52","2020","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H5","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","250","false","8","kg","250","false","250","false","0","false","2344.895",,"2344.895","0","false","true",
"C","A","20200101","2020","52","2020","24","AGO","Angola","M","Import","0","W00","World","0","W00","World","H5","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9173.23","false","8","kg","9173.23","false","9173.23","false","0","false","3387.695",,"3387.695","0","false","true",
"C","A","20200101","2020","52","2020","28","ATG","Antigua and Barbuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","575","false","5","u","24","false","575","false","0","false","3910.5",,"3910.5","0","false","true",
"C","A","20200101","2020","52","2020","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H5","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","465.81","false","8","kg","465.81","false","465.81","false","0","false","1289.76",,"1289.76","0","false","true",
"C","A","20200101","2020","52","2020","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H5","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","281203.6","false","8","kg","281203.6","false","281203.6","false","0","false","914379.52","875827.95","914379.52","0","false","true",
"C","A","20200101","2020","52","2020","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H5","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","487905.55","false","8","kg","487905.55","false","487905.55","false","0","false","2371068.458","2260678.037","2371068.458","0","false","true",
"C","A","20200101","2020","52","2020","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H5","HS","true","1801","Cocoa beans; whole or broken, raw or roasted","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26589973.791","true","-1","N/A","0","false","26589973.791","true","0","false","73874465.103","0","73874465.103","6","false","true",
