year,country_code,country,commodity_code,commodity_description,net_weight_kg,import_value_usd,sector,product_group,avg_price_usd_kg
2020,BEN,Benin,1806,Chocolate and other food preparations containing cocoa,855105.5,1271594.924,Cocoa,Chocolate and cocoa preparations,1.4870620338659968
2020,DNK,Denmark,1806,Chocolate and other food preparations containing cocoa,52755422.095,328627503.756,Cocoa,Chocolate and cocoa preparations,6.229264987477872
2020,DMA,Dominica,1806,Chocolate and other food preparations containing cocoa,136131.0,498303.946,Cocoa,Chocolate and cocoa preparations,3.6604737054748733
2020,DOM,Dominican Rep.,1806,Chocolate and other food preparations containing cocoa,5321646.109,23705989.05,Cocoa,Chocolate and cocoa preparations,4.454634630797469
2020,ECU,Ecuador,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",287908.734,2159479.374,Coffee,Coffee total,7.500569169950919
2020,SLV,El Salvador,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",912555.96,3010708.64,Coffee,Coffee total,3.299204401667598
2020,ETH,Ethiopia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",77646.29,285660.4,Coffee,Coffee total,3.678996124605568
2020,EST,Estonia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",6888500.889,42143267.2,Coffee,Coffee total,6.117915621858606
2020,FJI,Fiji,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",235372.67,1303231.481,Coffee,Coffee total,5.536885318928489
2020,FIN,Finland,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",71410759.103,261491310.572,Coffee,Coffee total,3.661791498320799
2020,FRA,France,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",386427149.295,2892373125.269,Coffee,Coffee total,7.484911788796058
2020,PYF,French Polynesia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",206606.2,3203438.755,Coffee,Coffee total,15.505046581370742
2020,GAB,Gabon,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",128496.36,508285.022,Coffee,Coffee total,3.9556375137786004
2020,GEO,Georgia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",6337033.23,15592564.28,Coffee,Coffee total,2.4605463967245123
2020,GMB,Gambia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",415067.83,336392.531,Coffee,Coffee total,0.8104519470950086
2020,PSE,State of Palestine,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",7921973.101,27458592.18,Coffee,Coffee total,3.466130448806229
2020,ECU,Ecuador,1801,"Cocoa beans; whole or broken, raw or roasted",15658.86,31044.08,Cocoa,Cocoa beans,1.9825249092207224
2020,SLV,El Salvador,1801,"Cocoa beans; whole or broken, raw or roasted",899382.12,1328799.13,Cocoa,Cocoa beans,1.4774578018073117
2020,EST,Estonia,1801,"Cocoa beans; whole or broken, raw or roasted",13497202.063,32769500.68,Cocoa,Cocoa beans,2.4278736086963777
2020,FJI,Fiji,1801,"Cocoa beans; whole or broken, raw or roasted",318.63,1111.211,Cocoa,Cocoa beans,3.4874650848947057
2020,FIN,Finland,1801,"Cocoa beans; whole or broken, raw or roasted",32822.798,210891.643,Cocoa,Cocoa beans,6.425157386033939
2020,FRA,France,1801,"Cocoa beans; whole or broken, raw or roasted",159482781.658,455938204.68,Cocoa,Cocoa beans,2.8588553569232857
2020,PYF,French Polynesia,1801,"Cocoa beans; whole or broken, raw or roasted",0.0,7840.418,Cocoa,Cocoa beans,
2020,GEO,Georgia,1801,"Cocoa beans; whole or broken, raw or roasted",723.4,7666.85,Cocoa,Cocoa beans,10.598354990323474
2020,GMB,Gambia,1801,"Cocoa beans; whole or broken, raw or roasted",7000.0,11139.58,Cocoa,Cocoa beans,1.5913685714285715
2020,PSE,State of Palestine,1801,"Cocoa beans; whole or broken, raw or roasted",413.824,1111.88,Cocoa,Cocoa beans,2.686842715743891
2020,ECU,Ecuador,1806,Chocolate and other food preparations containing cocoa,6901768.214,34786530.361,Cocoa,Chocolate and cocoa preparations,5.040234514169386
2020,SLV,El Salvador,1806,Chocolate and other food preparations containing cocoa,5203632.92,18859733.28,Cocoa,Chocolate and cocoa preparations,3.6243396815161977
2020,ETH,Ethiopia,1806,Chocolate and other food preparations containing cocoa,1009763.5,4193088.03,Cocoa,Chocolate and cocoa preparations,4.152544660210039
2020,EST,Estonia,1806,Chocolate and other food preparations containing cocoa,8973552.355,50289987.14,Cocoa,Chocolate and cocoa preparations,5.604245136206151
2020,FJI,Fiji,1806,Chocolate and other food preparations containing cocoa,1030356.62,3997816.242,Cocoa,Chocolate and cocoa preparations,3.880031597215341
2020,FIN,Finland,1806,Chocolate and other food preparations containing cocoa,26095267.109,151467806.297,Cocoa,Chocolate and cocoa preparations,5.804416780419168
2020,FRA,France,1806,Chocolate and other food preparations containing cocoa,464681224.694,2220138746.735,Cocoa,Chocolate and cocoa preparations,4.777767270879078
2020,PYF,French Polynesia,1806,Chocolate and other food preparations containing cocoa,1353358.81,10067220.079,Cocoa,Chocolate and cocoa preparations,7.438692536386562
2020,GAB,Gabon,1806,Chocolate and other food preparations containing cocoa,801427.0,2517561.355,Cocoa,Chocolate and cocoa preparations,3.141348313695446
2020,GEO,Georgia,1806,Chocolate and other food preparations containing cocoa,17100796.41,44300667.97,Cocoa,Chocolate and cocoa preparations,2.5905616854250355
2020,GMB,Gambia,1806,Chocolate and other food preparations containing cocoa,732418.073,270798.824,Cocoa,Chocolate and cocoa preparations,0.36973258031550515
2020,PSE,State of Palestine,1806,Chocolate and other food preparations containing cocoa,14697015.905,88433094.03,Cocoa,Chocolate and cocoa preparations,6.0170782015629865
2020,DEU,Germany,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1175978126.89,3386437527.32,Coffee,Coffee total,2.8796773085191614
2020,KIR,Kiribati,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",19285.909,253541.915,Coffee,Coffee total,13.146485084006153
2020,GRC,Greece,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",48610183.0,232364401.1,Coffee,Coffee total,4.780158945297531
2020,GRD,Grenada,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",35856.0,189017.793,Coffee,Coffee total,5.271580572289157
2020,GTM,Guatemala,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",245082.0,1506549.0,Coffee,Coffee total,6.147122187675961
2020,GUY,Guyana,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",36603.723,202857.597,Coffee,Coffee total,5.54199355622924
2020,HND,Honduras,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",847205.31,170055.82,Coffee,Coffee total,0.20072563048501194
2020,HKG,"China, Hong Kong SAR",901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",7164369.0,40366574.482,Coffee,Coffee total,5.634351675911724
2020,DEU,Germany,1801,"Cocoa beans; whole or broken, raw or roasted",292051175.764,787587177.625,Cocoa,Cocoa beans,2.696743731863732
2020,GRC,Greece,1801,"Cocoa beans; whole or broken, raw or roasted",3558380.0,9848752.913,Cocoa,Cocoa beans,2.7677631149568063
2020,GTM,Guatemala,1801,"Cocoa beans; whole or broken, raw or roasted",3569357.0,1333088.0,Cocoa,Cocoa beans,0.37348127407821635
2020,HND,Honduras,1801,"Cocoa beans; whole or broken, raw or roasted",4246.0,5502.8,Cocoa,Cocoa beans,1.295996231747527
2020,HKG,"China, Hong Kong SAR",1801,"Cocoa beans; whole or broken, raw or roasted",1529.0,12264.43,Cocoa,Cocoa beans,8.021209941137998
2020,DEU,Germany,1806,Chocolate and other food preparations containing cocoa,502737789.676,2460528099.251,Cocoa,Chocolate and cocoa preparations,4.8942573042634
2020,KIR,Kiribati,1806,Chocolate and other food preparations containing cocoa,86631.167,389797.519,Cocoa,Chocolate and cocoa preparations,4.499506730643487
2020,GRC,Greece,1806,Chocolate and other food preparations containing cocoa,29361907.641,126604644.819,Cocoa,Chocolate and cocoa preparations,4.311867143203375
2020,GRD,Grenada,1806,Chocolate and other food preparations containing cocoa,149328.0,907201.554,Cocoa,Chocolate and cocoa preparations,6.075227378656381
