year,country_code,country,commodity_code,commodity_description,net_weight_kg,import_value_usd,sector,product_group,avg_price_usd_kg,population,gdp_per_capita,import_value_usd_per_capita,net_weight_kg_per_capita
2020,FIN,Finland,1806,Chocolate and other food preparations containing cocoa,26095267.109,151467806.297,Cocoa,Chocolate and cocoa preparations,5.804416780419168,5529543.0,48828.6846862799,27.392463770875818,4.719244810827948
2020,FRA,France,1806,Chocolate and other food preparations containing cocoa,464681224.694,2220138746.735,Cocoa,Chocolate and cocoa preparations,4.777767270879078,67601110.0,39169.8606000707,32.841749887464864,6.873869744061895
2020,DEU,Germany,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1175978126.89,3386437527.32,Coffee,Coffee total,2.8796773085191614,83160871.0,47394.8734504469,40.72152547945295,14.141003007171488
2020,GRC,Greece,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",48610183.0,232364401.1,Coffee,Coffee total,4.780158945297531,10698599.0,17886.733165236,21.7191429550729,4.543602671714305
2020,DEU,Germany,1801,"Cocoa beans; whole or broken, raw or roasted",292051175.764,787587177.625,Cocoa,Cocoa beans,2.696743731863732,83160871.0,47394.8734504469,9.470646088170481,3.5118821177810897
2020,GRC,Greece,1801,"Cocoa beans; whole or broken, raw or roasted",3558380.0,9848752.913,Cocoa,Cocoa beans,2.7677631149568063,10698599.0,17886.733165236,0.9205647312325661,0.3326024276636595
2020,DEU,Germany,1806,Chocolate and other food preparations containing cocoa,502737789.676,2460528099.251,Cocoa,Chocolate and cocoa preparations,4.8942573042634,83160871.0,47394.8734504469,29.58757008751147,6.045364648429428
2020,GRC,Greece,1806,Chocolate and other food preparations containing cocoa,29361907.641,126604644.819,Cocoa,Chocolate and cocoa preparations,4.311867143203375,10698599.0,17886.733165236,11.833759244458083,2.744462862941213
2020,HUN,Hungary,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",0.0,112181611.0,Coffee,Coffee total,,9670419.0,16386.9308821258,11.600491250689345,0.0
2020,IRL,Ireland,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",26742860.728,110637926.912,Coffee,Coffee total,4.13710141324414,5039747.0,86514.0706108754,21.953071634746745,5.306389532649159
2020,ITA,Italy,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",591470164.0,1515839584.926,Coffee,Coffee total,2.5628335581201016,59438851.0,32091.4866621366,25.50250483351369,9.950901709052216
2020,LVA,Latvia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",11296730.311,71761226.102,Coffee,Coffee total,6.352389065367323,1900449.0,17564.2321549354,37.76014305145784,5.944242813671927
2020,LTU,Lithuania,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",21110447.765,133355919.0,Coffee,Coffee total,6.317057813482148,2810369.0,20428.6478157394,47.451391258585616,7.511628460533119
2020,LUX,Luxembourg,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",16756088.965,113295161.657,Coffee,Coffee total,6.761432330280064,630419.0,116860.02817236,179.714065814958,26.579289274276313
2020,MLT,Malta,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",1096467.0,5567119.272,Coffee,Coffee total,5.077324964636419,515490.0,31823.4363934505,10.799664924634813,2.127038351859396
2020,HUN,Hungary,1801,"Cocoa beans; whole or broken, raw or roasted",7281.0,52334.0,Cocoa,Cocoa beans,7.1877489355857715,9670419.0,16386.9308821258,0.005411761372490685,0.0007529146358601421
2020,IRL,Ireland,1801,"Cocoa beans; whole or broken, raw or roasted",40501.0,735899.75,Cocoa,Cocoa beans,18.169915557640554,5039747.0,86514.0706108754,0.1460191850900452,0.0080363161087253
2020,ITA,Italy,1801,"Cocoa beans; whole or broken, raw or roasted",99518871.0,302487720.992,Cocoa,Cocoa beans,3.0395011313180995,59438851.0,32091.4866621366,5.089057340492668,1.6743067762194797
2020,LVA,Latvia,1801,"Cocoa beans; whole or broken, raw or roasted",3428.0,28047.767,Cocoa,Cocoa beans,8.18196236872812,1900449.0,17564.2321549354,0.014758494966189568,0.0018037842636134933
2020,LTU,Lithuania,1801,"Cocoa beans; whole or broken, raw or roasted",1144078.29,1081624.0,Cocoa,Cocoa beans,0.9454108249882095,2810369.0,20428.6478157394,0.38486903321236465,0.4070918409646563
2020,LUX,Luxembourg,1801,"Cocoa beans; whole or broken, raw or roasted",4708.709,57541.539,Cocoa,Cocoa beans,12.220236799513412,630419.0,116860.02817236,0.09127507102419184,0.007469173676554799
2020,MLT,Malta,1801,"Cocoa beans; whole or broken, raw or roasted",307.0,5160.442,Cocoa,Cocoa beans,16.809257328990228,515490.0,31823.4363934505,0.010010750936002639,0.000595549865176822
2020,HUN,Hungary,1806,Chocolate and other food preparations containing cocoa,0.0,303876558.0,Cocoa,Chocolate and cocoa preparations,,9670419.0,16386.9308821258,31.423308338552857,0.0
2020,IRL,Ireland,1806,Chocolate and other food preparations containing cocoa,91731926.71,410010309.456,Cocoa,Chocolate and cocoa preparations,4.469657666214738,5039747.0,86514.0706108754,81.35533578491142,18.20169280521423
2020,ITA,Italy,1806,Chocolate and other food preparations containing cocoa,121921612.323,632473131.078,Cocoa,Chocolate and cocoa preparations,5.187539100142679,59438851.0,32091.4866621366,10.640736158880324,2.0512107867461973
2020,LVA,Latvia,1806,Chocolate and other food preparations containing cocoa,15587672.012,71672512.873,Cocoa,Chocolate and cocoa preparations,4.598025466395732,1900449.0,17564.2321549354,37.71346290955453,8.202099615406675
2020,LTU,Lithuania,1806,Chocolate and other food preparations containing cocoa,33283519.619,133033034.0,Cocoa,Chocolate and cocoa preparations,3.9969641288794975,2810369.0,20428.6478157394,47.33650065169378,11.843113704641633
2020,LUX,Luxembourg,1806,Chocolate and other food preparations containing cocoa,7117835.561,68425164.204,Cocoa,Chocolate and cocoa preparations,9.613198228252804,630419.0,116860.02817236,108.53918458041397,11.29064251077458
2020,MLT,Malta,1806,Chocolate and other food preparations containing cocoa,3280727.0,21452792.662,Cocoa,Chocolate and cocoa preparations,6.5390362142293466,515490.0,31823.4363934505,41.61631197889387,6.364288347009642
2020,NLD,Netherlands,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",259872797.682,1188565545.976,Coffee,Coffee total,4.573643553991436,17441500.0,53467.9277413737,68.14583298317233,14.899681660522319
2020,POL,Poland,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",188221003.629,648534517.0,Coffee,Coffee total,3.4456012054760796,37515748.0,16150.9304813473,17.286994171087834,5.017119840686637
2020,PRT,Portugal,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",56161590.959,260961378.458,Coffee,Coffee total,4.646616557720227,10297081.0,22299.4044062173,25.343238385519157,5.454127335601225
2020,ROU,Romania,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",58755404.256,270012220.39,Coffee,Coffee total,4.595529956930333,19265250.0,13009.1770573223,14.01550565863407,3.0498127071281194
2020,NLD,Netherlands,1801,"Cocoa beans; whole or broken, raw or roasted",681306620.0,1814233770.257,Cocoa,Cocoa beans,2.6628741259801645,17441500.0,53467.9277413737,104.01821920459822,39.06238683599461
2020,POL,Poland,1801,"Cocoa beans; whole or broken, raw or roasted",15251142.852,43548434.0,Cocoa,Cocoa beans,2.8554210279585153,37515748.0,16150.9304813473,1.160804097521926,0.4065264233036217
2020,PRT,Portugal,1801,"Cocoa beans; whole or broken, raw or roasted",126968.0,380215.347,Cocoa,Cocoa beans,2.9945761687984374,10297081.0,22299.4044062173,0.03692457571228196,0.012330484726690991
2020,ROU,Romania,1801,"Cocoa beans; whole or broken, raw or roasted",6482.421,54297.79,Cocoa,Cocoa beans,8.376159154118499,19265250.0,13009.1770573223,0.002818431632083674,0.00033648257873632577
2020,NLD,Netherlands,1806,Chocolate and other food preparations containing cocoa,280561105.856,1339932470.096,Cocoa,Chocolate and cocoa preparations,4.77590244024676,17441500.0,53467.9277413737,76.8243826560789,16.08583584301809
2020,POL,Poland,1806,Chocolate and other food preparations containing cocoa,224367052.052,943490933.0,Cocoa,Chocolate and cocoa preparations,4.205122473959919,37515748.0,16150.9304813473,25.149196891929225,5.980609850881821
2020,PRT,Portugal,1806,Chocolate and other food preparations containing cocoa,,245377692.553,Cocoa,Chocolate and cocoa preparations,,10297081.0,22299.4044062173,23.829830274521488,
2020,ROU,Romania,1806,Chocolate and other food preparations containing cocoa,84845658.255,364206451.44,Cocoa,Chocolate and cocoa preparations,4.292576178092615,19265250.0,13009.1770573223,18.90483909837661,4.404077717911784
2020,SVK,Slovakia,901,"Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion",30756177.882,131649447.22,Coffee,Coffee total,4.280422870653496,5458827.0,19735.4858280801,24.11680150699042,5.634210038530256
